id,en,fr,partyIds
64,Replace the Universal Child Care Benefit with an allowance based on family income,Remplacer la prestation universelle pour la garde d’enfants (PUGE) par une allocation selon le revenu familial,L
66,Put Parliament in charge of overseeing national security and intelligence agencies,Confier aux élus la supervision des agences de renseignement et de sécurité nationale,"G,L,N"
67,Create a single window for all government services,Créer un guichet unique en ligne pour tous les services gouvernementaux,L
68,Make government-funded science available to the public,Rendre accessibles au public les travaux scientifiques du gouvernement,L
69,Restore the mandatory long-form census,Rétablir le formulaire long obligatoire du recensement de Statistique Canada,"G,L,N"
71,Eliminate additional fees associated with Access to Information requests,Éliminer tous les frais supplémentaires exigés lors des demandes d’accès à l’information,L
72,Task a parliamentary committee with reviewing various electoral reform measures,Confier à un comité parlementaire l’évaluation de différents modes de scrutin,L
73,Introduce a proportional representation system after the next election,Adopter un mode de scrutin proportionnel mixte après les prochaines élections,"G,N"
74,Commit to gender parity in Cabinet nominations,Instaurer la parité hommes-femmes au Cabinet ministériel,L
75,Increase the number of free votes in the House of Commons,Accroître le nombre de votes libres à la Chambre,L
76,Register 18-year-old students to vote as part of their high school curriculum,Inscrire les jeunes de 18 ans sur les listes électorales dans le cadre de leurs programmes d’études secondaires,L
77,Create a non-partisan public process for appointing senators,Créer un processus transparent et non partisan pour les nominations de sénateurs,L
78,Ensure Supreme Court justices are functionally bilingual,Rendre obligatoire la maîtrise des deux langues officielles pour les juges de la Cour suprême,"B,L,N"
79,Increase penalties for violation of election laws,Alourdir les peines relatives aux infractions aux lois électorales,L
80,Make it harder for Canadians abroad to register to vote,Resserrer les règles entourant l’inscription sur la liste électorale des Canadiens vivant à l’extérieur du pays,C
81,Hold a national referendum on Senate reform,Tenir un référendum national sur la réforme du Sénat,G
82,Appoint a chief science adviser as an officer of Parliament,Nommer un conseiller parlementaire des sciences en tant qu’agent du Parlement,G
83,Make Quebec an independent country,Faire du Québec un pays indépendant,B
84,Abolish the monarchy,Abolir la monarchie,B
85,Give Quebec sole responsibility for regional development in the province,Faire du Québec l’unique mandataire du développement des régions québécoises,B
86,Hand over federal tax collection authority in Quebec to the provincial government,Donner au gouvernement québécois la responsabilité de collecter les impôts fédéraux,B
87,Apply provincial labour laws to federally regulated companies and institutions in Quebec,Appliquer la loi sur les normes du travail et le Code du travail du Québec aux entreprises et organismes fédéraux sur le territoire québécois,B
89,Impose limits on political party spending between elections,Imposer des limites aux dépenses des partis politiques entre les élections,L
90,Create a federal tourism department,Créer un ministère fédéral du Tourisme,G
91,Allow temporary foreign workers who have applied for permanent residence to stay in Canada,Permettre aux travailleurs étrangers temporaires qui ont fait une demande de résidence permanente de rester au Canada,N
92,Give municipalities an additional cent per litre from the gas tax,Verser aux municipalités un cent de plus le litre de la taxe sur l’essence,N
93,Give municipalities an additional five cents per litre from the gas tax,Verser aux municipalités 5 cents de plus le litre de la taxe sur l’essence,G
95,Reinstate door-to-door mail delivery in all communities affected by cuts announced in December 2013,Rétablir la livraison du courrier à domicile dans toutes les collectivités touchées par les réformes de décembre 2013 ,"L,N"
96,Force CN to paint the historic Pont de Québec across the St. Lawrence,Forcer le Canadien National (CN) à peindre le pont de Québec,N
97,Invest $150 million over two years in community infrastructure,Investir 150 millions $ sur deux ans pour la réfection d’infrastructures communautaires,C
98,Create Canada's first urban national park in Toronto,Créer le premier parc national en milieu urbain à Toronto,C
99,Decriminalize the possession of marijuana,Décriminaliser la possession de marijuana,N
100,Launch a national inquiry into missing and murdered Indigenous women,Tenir une enquête nationale sur la disparition et l’assassinat de femmes et de filles autochtones,"G,L,N"
101,Reintroduce a long-gun registry,Réintroduire le registre des armes d’épaule,N
102,Legalize marijuana,Légaliser la marijuana,"G,L"
103,Create a publicly accessible database of high-risk child sex offenders,Créer une base de données nationale accessible au public comprenant les noms des pédophiles à risque élevé,C
104,Speed up the removal of foreign nationals and permanent residents who commit serious crimes,Accélérer le renvoi de ressortissants étrangers et de résidents permanents qui commettent des crimes graves au Canada,C
105,Eliminate parole for those convicted of certain serious crimes,Rendre obligatoires des peines d’emprisonnement à vie sans possibilité de libération conditionnelle pour certains crimes graves,C
106,Stiffen penalties for offences related to drunk driving,Augmenter les peines imposées pour conduite en état d’ébriété,C
107,Restrict statutory release for repeat offenders convicted of serious crimes,Limiter les possibilités de libération conditionnelle des délinquants récidivistes reconnus coupables de crimes graves,C
108,Impose mandatory minimum sentences for gun crimes,Imposer des peines minimales pour la possession illégale d’arme à feu,C
109,Forbid public servants from wearing or displaying religious symbols,Interdire les signes religieux ostentatoires dans la fonction publique,B
110,Apply Bill 101 to federally regulated institutions in Quebec,Appliquer la loi 101 dans les organismes fédéraux au Québec,"B,N"
113,Abolish the Indian Act,Abolir la Loi sur les Indiens,"C,G"
114,Expand the number of communities eligible for aid under the Nutrition North Canada program,"Augmenter la portée du programme Nutrition Nord Canada, qui facilite l’accès à des aliments dans les régions isolées",N
115,"Build a road to Shoal Lake 40 First Nation, an isolated community east of Winnipeg under a boil-water advisory","Construire une route vers Shoal Lake, un village des Premières Nations reclus qui fait l’objet d’un avis d’ébullition d’eau","L,N"
116,Shut down unauthorized medical-marijuana dispensaries,Exiger la fermeture de dispensaires non autorisés de marijuana médicale,C
117,Oppose the opening of new supervised injection sites,S’opposer à l’ouverture de nouveaux centres d’injections supervisées,C
119,Develop and implement a national pharmacare program,Mettre sur pied un programme national d’assurance médicaments ,"G,N"
120,Create a national school food program,Créer un programme national d’alimentation dans les écoles,G
121,Regulate assisted human reproduction,Réglementer la procréation assistée,G
122,Decriminalize doctor-assisted death,Décriminaliser l’aide médicale à mourir ,B
123,Ensure that every Canadian has an electronic health record,S'assurer que chaque Canadien possède un dossier médical numérique,G
125,Repeal the Anti-Terrorism Act (C-51),Abroger la loi antiterroriste C-51,"G,N"
127,Ensure that VIA Rail maintains minimum service levels to remote regions,Encadrer le mandat de VIA Rail pour freiner l’abandon de liens ferroviaires en région,N
131,Invest $1 billion per year in public transit projects structured as public-private partnerships,Investir un milliard $ par année dans des projets de transport en commun réalisés par des partenariats public-privé,C
132,Extend workplace protections to unpaid interns,Offrir aux stagiaires en milieu de travail les mêmes protections légales que celles des employés rémunérés,N
133,Increase the federal minimum wage to $15 per hour,Porter à 15 $ le salaire horaire minimal des employés fédéraux,"G,N"
135,Abolish the Senate,Abolir le Sénat,N
136,Redefine Canadian Food Inspection Agency's mission by focusing on public health,Redéfinir le mandat de l’Agence canadienne d’inspection des aliments en l'axant sur la santé de la population,G
137,Give CSIS power to disrupt terrorist threats,Donner au Service canadien du renseignement de sécurité (SCRS) le pouvoir de contrer les menaces terroristes,C
138,Support the expansion of the Universal Child Care Benefit,Maintenir l’augmentation de la Prestation universelle pour la garde d’enfants (PUGE),"C,N"
140,Reject calls for an inquiry into missing and murdered Indigenous women,S’opposer à la tenue d’une enquête nationale sur la disparition et l’assassinat de femmes et de filles autochtones,C
141,Support a moratorium on Senate appointments,Appuyer le moratoire sur les nouvelles nominations au Sénat,C
142,Oppose the legalization of marijuana,S’opposer à la légalisation de la marijuana,C
143,"Maintain a TFSA contribution limit of $10,000",Maintenir à 10 000 $ le plafond de cotisation au CELI,C
144,Maintain a retirement age of 67,Maintenir l’âge de la retraite à 67 ans,C
145,Maintain income splitting for couples,Maintenir le fractionnement du revenu entre conjoints,C
146,Maintain a corporate tax rate of 15%,Maintenir à 15 % le taux d’imposition des sociétés,"C,L"
148,Establish a home renovation tax credit worth up to $600 per household,Instaurer un crédit d’impôt à la rénovation domiciliaire pouvant atteindre 600 $ par foyer,C
149,Increase funding for RCMP anti-drug operations,Augmenter le financement des équipes de lutte antidrogue de la GRC,C
150,Ban travel to certain conflict zones where terror groups operate,Criminaliser les voyages dans des zones considérées comme des foyers d’activités terroristes,C
151,Exempt book purchases from the GST,Abolir la TPS sur les livres,B
152,Make the Universal Child Care Benefit non-taxable,Rendre non imposable la Prestation universelle pour la garde d'enfants,B
